S/N,E-waste Collection Points,Collection Type,Location,Postal Code,Remarks,Website,
96,"NANYANG POLYTECHNIC, BLOCK E (NORTH CANTEEN)",1. Permanent E-bin,"ANG MO KIO AVENUE 8, NANYANG POLYTECHNIC, BLOCK E (NORTH CANTEEN)",569830,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
97,NANYANG TECHNOLOGICAL UNIVERSITY HALL 6,1. Permanent E-bin,"21 LIEN YING CHOW DRIVE, NANYANG TECHNOLOGICAL UNIVERSITY, HALL 6 BLOCK A",637296,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
98,NANYANG TECHNOLOGICAL UNIVERSITY NORTH SPINE PLAZA,1. Permanent E-bin,"76 NANYANG DRIVE, SPIRAL STAIRCASE NEAR LECTURE THEATRE 1A",637331,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
99,NATIONAL PARKS BOARD HQ,1. Permanent E-bin,"1 CLUNY ROAD, NATIONAL PARKS BOARD HQ, SINGAPORE BOTANIC GARDENS, NASSIM GATE INFO COUNTER",259569,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
100,NEE SOON CENTRAL CC,1. Permanent E-bin,"1 NORTHPOINT DRIVE NEE SOON CENTRAL COMMUNITY CLUB, NEE SOON CENTRAL CC, INSIDE NORTHPOINT CITY",768019,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,,,
101,NEE SOON EAST CC,1. Permanent E-bin,"1 YISHUN AVENUE 9, NEE SOON EAST CC, MAIN LOBBY",768893,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
102,NEE SOON SOUTH CC,1. Permanent E-bin,"30 YISHUN STREET 81, NEE SOON SOUTH CC, VOID DECK (TEMPORARY) CC UNDERGOING RENOVATION",768455,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
103,NEWEST,1. Permanent E-bin,"1 WEST COAST DRIVE, #01-111, LIFT LOBBY C",128020,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
104,NG TENG FONG GENERAL HOSPITAL,1. Permanent E-bin,"1 JURONG EAST STREET 21, NG TENG FONG GENERAL HOSPITAL, TOWER B, LEVEL 2",609606,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
